bank_issue,tenor,unit,type,from_amount,to_amount,interest,is_default
VIB,7,day,online,100000000,999999999.0,0.002,False
VIB,7,month,online,1000000000,999999999.0,0.0557,False
VIB,7,month,online,1000000000,999999999.0,0.057,False
VIB,7,day,offline,1000000000,999999999.0,0.002,False
VIB,7,month,offline,1000000000,999999999.0,0.056,False
VIB,7,day,online,1000000000,4999999999.0,0.002,False
VIB,7,month,online,5000000000,4999999999.0,0.0566,False
VIB,7,month,online,5000000000,4999999999.0,0.058,False
VIB,7,day,offline,5000000000,4999999999.0,0.002,False
VIB,7,month,offline,5000000000,4999999999.0,0.057,False
VIB,7,day,online,5000000000,999999999999.0,0.002,False
VIB,7,month,online,1000000000000,999999999999.0,0.0566,False
VIB,7,month,online,1000000000000,999999999999.0,0.058,False
VIB,7,day,offline,1000000000000,1e+17,0.002,False
VIB,7,month,offline,100000000000000000,1e+17,0.057,False
VIB,6,month,online,0,99999999.0,0.0547,True
VIB,6,month,online,100000000,99999999.0,0.0552,False
VIB,6,month,online,100000000,99999999.0,0.056,False
VIB,6,month,offline,100000000,99999999.0,0.055,False
VIB,6,month,online,100000000,999999999.0,0.0547,False
VIB,6,month,online,1000000000,999999999.0,0.0552,False
VIB,6,month,online,1000000000,999999999.0,0.056,False
VIB,6,month,offline,1000000000,999999999.0,0.055,False
VIB,6,month,online,1000000000,4999999999.0,0.0557,False
VIB,6,month,online,5000000000,4999999999.0,0.0562,False
VIB,6,month,online,5000000000,4999999999.0,0.057,False
VIB,6,month,offline,5000000000,4999999999.0,0.056,False
VIB,6,month,online,5000000000,999999999999.0,0.0557,False
VIB,6,month,online,1000000000000,999999999999.0,0.0562,False
VIB,6,month,online,1000000000000,999999999999.0,0.057,False
VIB,6,month,offline,1000000000000,1e+17,0.056,False
VIB,9,month,online,0,99999999.0,0.0556,True
VIB,9,month,online,100000000,99999999.0,0.056,False
VIB,9,month,online,100000000,99999999.0,0.057,False
VIB,9,month,offline,100000000,99999999.0,0.056,False
VIB,9,month,online,100000000,999999999.0,0.0556,False
VIB,9,month,online,1000000000,999999999.0,0.056,False
VIB,9,month,online,1000000000,999999999.0,0.057,False
VIB,9,month,offline,1000000000,999999999.0,0.056,False
VIB,9,month,online,1000000000,4999999999.0,0.0566,False
VIB,9,month,online,5000000000,4999999999.0,0.0569,False
VIB,9,month,online,5000000000,4999999999.0,0.058,False
VIB,9,month,offline,5000000000,4999999999.0,0.057,False
VIB,9,month,online,5000000000,999999999999.0,0.0566,False
VIB,9,month,online,1000000000000,999999999999.0,0.0569,False
VIB,9,month,online,1000000000000,999999999999.0,0.058,False
VIB,9,month,offline,1000000000000,1e+17,0.057,False
VIB,5,month,online,0,99999999.0,0.036,True
VIB,5,month,offline,100000000,99999999.0,0.035,False
VIB,5,month,online,100000000,999999999.0,0.036,False
VIB,5,month,offline,1000000000,999999999.0,0.035,False
VIB,5,month,online,1000000000,4999999999.0,0.037,False
VIB,5,month,offline,5000000000,4999999999.0,0.036,False
VIB,5,month,online,5000000000,999999999999.0,0.037,False
VIB,5,month,offline,1000000000000,1e+17,0.036,False
VIB,1,month,online,0,99999999.0,0.036,True
VIB,1,month,offline,100000000,99999999.0,0.035,False
VIB,1,month,online,100000000,999999999.0,0.036,False
VIB,1,month,offline,1000000000,999999999.0,0.035,False
VIB,1,month,online,1000000000,4999999999.0,0.037,False
VIB,1,month,offline,5000000000,4999999999.0,0.036,False
VIB,1,month,online,5000000000,999999999999.0,0.037,False
VIB,1,month,offline,1000000000000,1e+17,0.036,False
VIB,10,month,online,0,99999999.0,0.0556,True
VIB,10,month,online,100000000,99999999.0,0.057,False
VIB,10,month,offline,100000000,99999999.0,0.056,False
VIB,10,month,online,100000000,999999999.0,0.0556,False
VIB,10,month,online,1000000000,999999999.0,0.057,False
VIB,10,month,offline,1000000000,999999999.0,0.056,False
VIB,10,month,online,1000000000,4999999999.0,0.0565,False
VIB,10,month,online,5000000000,4999999999.0,0.058,False
VIB,10,month,offline,5000000000,4999999999.0,0.057,False
VIB,10,month,online,5000000000,999999999999.0,0.0565,False
VIB,10,month,online,1000000000000,999999999999.0,0.058,False
VIB,10,month,offline,1000000000000,1e+17,0.057,False
VIB,3,month,online,0,99999999.0,0.036,True
VIB,3,month,offline,100000000,99999999.0,0.035,False
VIB,3,month,online,100000000,999999999.0,0.036,False
VIB,3,month,offline,1000000000,999999999.0,0.035,False
VIB,3,month,online,1000000000,4999999999.0,0.037,False
VIB,3,month,offline,5000000000,4999999999.0,0.036,False
VIB,3,month,online,5000000000,999999999999.0,0.037,False
VIB,3,month,offline,1000000000000,1e+17,0.036,False
VIB,12,month,offline,0,99999999.0,0.0619,True
VIB,12,month,offline,100000000,999999999.0,0.0619,False
VIB,12,month,offline,1000000000,4999999999.0,0.0619,False
VIB,12,month,offline,5000000000,1e+17,0.0619,False
VIB,8,month,online,0,99999999.0,0.0556,True
VIB,8,month,online,100000000,99999999.0,0.057,False
VIB,8,month,offline,100000000,99999999.0,0.056,False
VIB,8,month,online,100000000,999999999.0,0.0556,False
VIB,8,month,online,1000000000,999999999.0,0.057,False
VIB,8,month,offline,1000000000,999999999.0,0.056,False
VIB,8,month,online,1000000000,4999999999.0,0.0566,False
VIB,8,month,online,5000000000,4999999999.0,0.058,False
VIB,8,month,offline,5000000000,4999999999.0,0.057,False
VIB,8,month,online,5000000000,999999999999.0,0.0566,False
VIB,8,month,online,1000000000000,999999999999.0,0.058,False
VIB,8,month,offline,1000000000000,1e+17,0.057,False
VIB,11,month,online,0,99999999.0,0.0556,True
VIB,11,month,online,100000000,99999999.0,0.057,False
VIB,11,month,offline,100000000,99999999.0,0.056,False
VIB,11,month,online,100000000,999999999.0,0.0556,False
VIB,11,month,online,1000000000,999999999.0,0.057,False
VIB,11,month,offline,1000000000,999999999.0,0.056,False
VIB,11,month,online,1000000000,4999999999.0,0.0565,False
VIB,11,month,online,5000000000,4999999999.0,0.058,False
VIB,11,month,offline,5000000000,4999999999.0,0.057,False
VIB,11,month,online,5000000000,999999999999.0,0.0565,False
VIB,11,month,online,1000000000000,999999999999.0,0.058,False
VIB,11,month,offline,1000000000000,1e+17,0.057,False
VIB,2,month,online,0,99999999.0,0.036,True
VIB,2,month,offline,100000000,99999999.0,0.035,False
VIB,2,month,online,100000000,999999999.0,0.036,False
VIB,2,month,offline,1000000000,999999999.0,0.035,False
VIB,2,month,online,1000000000,4999999999.0,0.037,False
VIB,2,month,offline,5000000000,4999999999.0,0.036,False
VIB,2,month,online,5000000000,999999999999.0,0.037,False
VIB,2,month,offline,1000000000000,1e+17,0.036,False
VIB,4,month,online,0,99999999.0,0.036,True
VIB,4,month,offline,100000000,99999999.0,0.035,False
VIB,4,month,online,100000000,999999999.0,0.036,False
VIB,4,month,offline,1000000000,999999999.0,0.035,False
VIB,4,month,online,1000000000,4999999999.0,0.037,False
VIB,4,month,offline,5000000000,4999999999.0,0.036,False
VIB,4,month,online,5000000000,999999999999.0,0.037,False
VIB,4,month,offline,1000000000000,1e+17,0.036,False
VIB,36,month,online,0,99999999.0,0.0602,True
VIB,36,month,online,100000000,99999999.0,0.0603,False
VIB,36,month,online,100000000,99999999.0,0.062,False
VIB,36,month,offline,100000000,99999999.0,0.061,False
VIB,36,month,online,100000000,999999999.0,0.0602,False
VIB,36,month,online,1000000000,999999999.0,0.0603,False
VIB,36,month,online,1000000000,999999999.0,0.062,False
VIB,36,month,offline,1000000000,999999999.0,0.061,False
VIB,36,month,online,1000000000,4999999999.0,0.0611,False
VIB,36,month,online,5000000000,4999999999.0,0.0613,False
VIB,36,month,online,5000000000,4999999999.0,0.063,False
VIB,36,month,offline,5000000000,4999999999.0,0.062,False
VIB,36,month,online,5000000000,999999999999.0,0.0611,False
VIB,36,month,online,1000000000000,999999999999.0,0.0613,False
VIB,36,month,online,1000000000000,999999999999.0,0.063,False
VIB,36,month,offline,1000000000000,1e+17,0.062,False
VIB,18,month,online,0,99999999.0,0.0593,True
VIB,18,month,online,100000000,99999999.0,0.0595,False
VIB,18,month,online,100000000,99999999.0,0.061,False
VIB,18,month,offline,100000000,99999999.0,0.06,False
VIB,18,month,online,100000000,999999999.0,0.0593,False
VIB,18,month,online,1000000000,999999999.0,0.0595,False
VIB,18,month,online,1000000000,999999999.0,0.061,False
VIB,18,month,offline,1000000000,999999999.0,0.06,False
VIB,18,month,online,1000000000,4999999999.0,0.0603,False
VIB,18,month,online,5000000000,4999999999.0,0.0605,False
VIB,18,month,online,5000000000,4999999999.0,0.062,False
VIB,18,month,offline,5000000000,4999999999.0,0.061,False
VIB,18,month,online,5000000000,999999999999.0,0.0603,False
VIB,18,month,online,1000000000000,999999999999.0,0.0605,False
VIB,18,month,online,1000000000000,999999999999.0,0.062,False
VIB,18,month,offline,1000000000000,1e+17,0.061,False
VIB,14,day,online,0,99999999.0,0.002,True
VIB,14,day,offline,100000000,99999999.0,0.002,False
VIB,14,month,offline,100000000,99999999.0,0.056,False
VIB,14,month,online,100000000,199999999.0,0.0651,False
VIB,14,month,online,200000000,199999999.0,0.067,False
VIB,14,day,online,200000000,999999999.0,0.002,False
VIB,14,month,online,1000000000,999999999.0,0.0651,False
VIB,14,month,online,1000000000,999999999.0,0.067,False
VIB,14,day,offline,1000000000,999999999.0,0.002,False
VIB,14,month,offline,1000000000,999999999.0,0.056,False
VIB,14,month,online,1000000000,2999999999.0,0.0651,False
VIB,14,month,online,3000000000,2999999999.0,0.067,False
VIB,14,day,online,3000000000,4999999999.0,0.002,False
VIB,14,day,offline,5000000000,4999999999.0,0.002,False
VIB,14,month,offline,5000000000,4999999999.0,0.057,False
VIB,14,day,online,5000000000,999999999999.0,0.002,False
VIB,14,month,online,1000000000000,999999999999.0,0.0651,False
VIB,14,month,online,1000000000000,999999999999.0,0.067,False
VIB,14,day,offline,1000000000000,1e+17,0.002,False
VIB,14,month,offline,100000000000000000,1e+17,0.057,False
VIB,21,day,online,0,99999999.0,0.002,True
VIB,21,day,offline,100000000,99999999.0,0.002,False
VIB,21,day,online,100000000,999999999.0,0.002,False
VIB,21,day,offline,1000000000,999999999.0,0.002,False
VIB,21,day,online,1000000000,4999999999.0,0.002,False
VIB,21,day,offline,5000000000,4999999999.0,0.002,False
VIB,21,day,online,5000000000,999999999999.0,0.002,False
VIB,21,day,offline,1000000000000,1e+17,0.002,False
VIB,15,month,online,0,99999999.0,0.0574,True
VIB,15,month,online,100000000,99999999.0,0.0577,False
VIB,15,month,online,100000000,99999999.0,0.059,False
VIB,15,month,offline,100000000,99999999.0,0.058,False
VIB,15,month,online,100000000,999999999.0,0.0574,False
VIB,15,month,online,1000000000,999999999.0,0.0577,False
VIB,15,month,online,1000000000,999999999.0,0.059,False
VIB,15,month,offline,1000000000,999999999.0,0.058,False
VIB,15,month,online,1000000000,4999999999.0,0.0584,False
VIB,15,month,online,5000000000,4999999999.0,0.0586,False
VIB,15,month,online,5000000000,4999999999.0,0.06,False
VIB,15,month,offline,5000000000,4999999999.0,0.059,False
VIB,15,month,online,5000000000,999999999999.0,0.0584,False
VIB,15,month,online,1000000000000,999999999999.0,0.0586,False
VIB,15,month,online,1000000000000,999999999999.0,0.06,False
VIB,15,month,offline,1000000000000,1e+17,0.059,False
VIB,24,month,online,0,99999999.0,0.0602,True
VIB,24,month,online,100000000,99999999.0,0.0604,False
VIB,24,month,online,100000000,99999999.0,0.062,False
VIB,24,month,offline,100000000,99999999.0,0.061,False
VIB,24,month,online,100000000,999999999.0,0.0602,False
VIB,24,month,online,1000000000,999999999.0,0.0604,False
VIB,24,month,online,1000000000,999999999.0,0.062,False
VIB,24,month,offline,1000000000,999999999.0,0.061,False
VIB,24,month,online,1000000000,4999999999.0,0.0612,False
VIB,24,month,online,5000000000,4999999999.0,0.0613,False
VIB,24,month,online,5000000000,4999999999.0,0.063,False
VIB,24,month,offline,5000000000,4999999999.0,0.062,False
VIB,24,month,online,5000000000,999999999999.0,0.0612,False
VIB,24,month,online,1000000000000,999999999999.0,0.0613,False
VIB,24,month,online,1000000000000,999999999999.0,0.063,False
VIB,24,month,offline,1000000000000,1e+17,0.062,False
